dataset,split_type,model,accuracy,balanced_accuracy,macro_f1,clear_precision,clear_recall,clear_f1,unclear_precision,unclear_recall,unclear_f1,test_clear_support,test_unclear_support
SpeakClear,single_speaker_stratified,Majority Baseline,0.7704918032786885,0.5,0.4351851851851852,0.7704918032786885,1.0,0.8703703703703703,0.0,0.0,0.0,47,14
SpeakClear,single_speaker_stratified,Logistic Regression,0.639344262295082,0.6155015197568389,0.5795739348370927,0.8378378378378378,0.6595744680851063,0.7380952380952381,0.3333333333333333,0.5714285714285714,0.42105263157894735,47,14
SpeakClear,single_speaker_stratified,Random Forest,0.7540983606557377,0.6648936170212766,0.660734149054505,0.8478260869565217,0.8297872340425532,0.8387096774193549,0.4666666666666667,0.5,0.4827586206896552,47,14
SpeakClear,single_speaker_stratified,SVM,0.7377049180327869,0.7545592705167173,0.6942355889724311,0.918918918918919,0.723404255319149,0.8095238095238095,0.4583333333333333,0.7857142857142857,0.5789473684210527,47,14
