model,accuracy,balanced_accuracy,macro_f1,clear_precision,clear_recall,clear_f1,unclear_precision,unclear_recall,unclear_f1,test_clear_support,test_unclear_support
Majority Baseline,0.7076124567474048,0.5,0.414387031408308,0.7076124567474048,1.0,0.828774062816616,0.0,0.0,0.0,409,169
Logistic Regression,0.7768166089965398,0.7537579028081192,0.7417453197790209,0.8664921465968587,0.8092909535452323,0.8369152970922883,0.6020408163265306,0.6982248520710059,0.6465753424657534,409,169
Random Forest,0.7577854671280276,0.6187844504564459,0.6273028739867355,0.7632093933463796,0.9535452322738386,0.8478260869565217,0.7164179104477612,0.28402366863905326,0.4067796610169492,409,169
SVM,0.7249134948096886,0.7170830861822022,0.6942663716961359,0.8551136363636364,0.7359413202933985,0.7910643889618922,0.5221238938053098,0.6982248520710059,0.5974683544303797,409,169
